"ID";"Key";"Value"
"id-3bd2ac77dfb5476fa4a0e1922834efaa";"Architectuurlaag";"3-Informatie"
"id-3bd2ac77dfb5476fa4a0e1922834efaa";"Bron";"D0.Werkgroep APs"
"id-511fba2f031e442fb2aad7f5a5ba8ea5";"Architectuurlaag";"3-Informatie"
"id-511fba2f031e442fb2aad7f5a5ba8ea5";"Bron";"D0.Afgeleid principe AP17"
"id-83859412ff8349c99d5a8b08a8882444";"Architectuurlaag";"3-Informatie"
"id-83859412ff8349c99d5a8b08a8882444";"Bron";"D0.Werkgroep APs"
"id-1e6480a5e03244389d185703aa9951b7";"Directed";"true"
"id-27462";"Directed";"false"
"id-27465";"Directed";"false"
"id-27772";"Directed";"false"
"id-27778";"Directed";"false"
"id-28667";"Directed";"true"
"id-28669";"Directed";"false"
"id-59dabf8af1b04321a3ed860ed8d98f78";"Directed";"true"
"id-a3b0a43af480448889be1df08f15934c";"Directed";"false"
"id-e535633a7939430eab14eec4a5556863";"Directed";"true"
"id-f256ca5452f742849cc8feb1dc5507a5";"Directed";"true"
"id-fea82638ab814f3081d39c43bf728eca";"Influence_Strength";"Eisen aan kwaliteit (het 'wat')"
