"ID";"Type";"Name";"Documentation";"Source";"Target";"Specialization"
"id-0a4ac966a1da4d979e9d86ced7940714";"AggregationRelationship";"";"";"id-1d4a343462be40548c3b704b34ed0a04";"id-57294b05b026417d94a2e17ce25a1aeb";""
"id-14a9bfcc65fe443b82d1d2b7e5cc41d2";"AggregationRelationship";"";"";"id-4468c6df9320405e8fce62e54e297b0b";"id-26075e94bc3a45e5bd94f82ff94cb3df";""
"id-15e1f4ba3e934a898a87bec881109bf8";"AggregationRelationship";"";"";"id-4468c6df9320405e8fce62e54e297b0b";"id-fcd3e6c73fd44ca195e273f4a491f50c";""
"id-1beede522ba04d49b585f2cf11f0f9f3";"AggregationRelationship";"";"";"id-1d4a343462be40548c3b704b34ed0a04";"id-3ce47667b4384c1fbe5aca987909db83";""
"id-1c7d40c0794a4e828ed5857de756ff32";"AggregationRelationship";"";"";"id-1d4a343462be40548c3b704b34ed0a04";"id-6239269a742e42d99db5fe7ae4cbe24f";""
"id-2253c276cf864a08840762c7c1204227";"AggregationRelationship";"";"";"id-4468c6df9320405e8fce62e54e297b0b";"id-24b04309e2e84107a25391fa584d8f00";""
"id-2313547dc1ce48eea7a12716217e03bd";"AggregationRelationship";"";"";"id-4468c6df9320405e8fce62e54e297b0b";"id-1ba9c2b219444e7395a8583cad63b22e";""
"id-2ffc6da23bae4a9ea2fdcc2e7358f4e2";"AggregationRelationship";"";"";"id-55298bd32f1f46e1a171a689e47fdf45";"id-b34b50ffce4d4f34bb38e1eecd72451f";""
"id-32d03a90df5241d086f3d526603284ab";"AggregationRelationship";"";"";"id-55298bd32f1f46e1a171a689e47fdf45";"id-de38cad5d09f4f5fac0db85b613692c6";""
"id-360e2d6191654a3dbf0b32ece6b5832b";"AggregationRelationship";"";"";"id-55298bd32f1f46e1a171a689e47fdf45";"id-71b8e0371ba34570ae9cda01963b50f3";""
"id-4833ac6c72e1471eb79f1cee72b8f414";"AggregationRelationship";"";"";"id-4468c6df9320405e8fce62e54e297b0b";"id-3bd2ac77dfb5476fa4a0e1922834efaa";""
"id-4cc1632233594fd68a9e7fd3a9f366ea";"AggregationRelationship";"";"";"id-e1dd5189a3e74a9aa9bed2a68b8b58c5";"id-aed1f376194f4247921b812b4103a0b0";""
"id-5e66aa13ed0647c1b6e8bbad3b8d1ce0";"AggregationRelationship";"";"";"id-1d4a343462be40548c3b704b34ed0a04";"id-aef6522ea9cc44cd9303787b113ca5cf";""
"id-5ec545c2250045c0bc1ac6cd126a621b";"AggregationRelationship";"";"";"id-1d4a343462be40548c3b704b34ed0a04";"id-b2d9cccd5ef34cab98351fe097267da6";""
"id-67be0034e966471c88a8cd81e847401f";"AggregationRelationship";"";"";"id-55298bd32f1f46e1a171a689e47fdf45";"id-1aa55fb9beb44767ab9e63d2db0bca20";""
"id-7d1122704e824d4fb6a279d03a89aec2";"AggregationRelationship";"";"";"id-55298bd32f1f46e1a171a689e47fdf45";"id-151b2ada34ee47208197653ae3934cf0";""
"id-85b10ed2efb64f788c6ff280560c0837";"AggregationRelationship";"";"";"id-1d4a343462be40548c3b704b34ed0a04";"id-fb1dcaad54144a9fa58b72d1043198cb";""
"id-8c78c2bb49b0450b986e414a551d4c44";"AggregationRelationship";"";"";"id-55298bd32f1f46e1a171a689e47fdf45";"id-b387d9f7f51a4141976be4c9149c0d7b";""
"id-94a7f71ae1c94c8eb45bbb825a7fa240";"AggregationRelationship";"";"";"id-1d4a343462be40548c3b704b34ed0a04";"id-9c36647a4aba40bb9c9b219f8c4e81e8";""
"id-c36fbc7b50f74632a9c9a05a7f69d0bc";"AggregationRelationship";"";"";"id-4468c6df9320405e8fce62e54e297b0b";"id-de38cad5d09f4f5fac0db85b613692c6";""
"id-c63ddcb6733a442e9e8e1b98087e36b5";"AggregationRelationship";"";"";"id-1d4a343462be40548c3b704b34ed0a04";"id-77695a81dc7049f3b4305589b898922b";""
"id-d47fcf1b73aa490cb933c8432d691e92";"AggregationRelationship";"";"";"id-55298bd32f1f46e1a171a689e47fdf45";"id-fb829492a6bb42ef9aa3c381d663abfa";""
"id-d6f47e200fed4fad9acd0c1e47197ec6";"AggregationRelationship";"";"";"id-4468c6df9320405e8fce62e54e297b0b";"id-511fba2f031e442fb2aad7f5a5ba8ea5";""
"id-f23db53d255247758f397b3cc994554b";"AggregationRelationship";"";"";"id-1d4a343462be40548c3b704b34ed0a04";"id-c72dde45c9ae417cbfa8cf9ae7781276";""
"id-fe928bac71c34c4b985867767b1e351d";"AggregationRelationship";"";"";"id-4468c6df9320405e8fce62e54e297b0b";"id-83859412ff8349c99d5a8b08a8882444";""
"id-fff4cb1d7a1f415991fd0212cc9dc72b";"AggregationRelationship";"";"";"id-1d4a343462be40548c3b704b34ed0a04";"id-e0b7dec8ff264328bc9f4dbd5278ff97";""
"id-706086c6f31a44a387fdf631e76e6ef2";"AggregationRelationship";"";"";"id-e28f6311e03a458d8160cc92b818e631";"id-de38cad5d09f4f5fac0db85b613692c6";""
"id-7156313f90c1431e8567dcc4c45e0681";"AggregationRelationship";"";"";"id-e28f6311e03a458d8160cc92b818e631";"id-c0272d979f36400e90a84ee41cc6115a";""
"id-dcd59d809c044dd2a52e2bc6d111276e";"AggregationRelationship";"";"";"id-e28f6311e03a458d8160cc92b818e631";"id-869f6e85cc844f50acb627bfc1d3a8cb";""
"id-11a8d4133a0b4aaf984a2abf285d3e41";"AggregationRelationship";"";"";"id-e28f6311e03a458d8160cc92b818e631";"id-4a042c29ea1449a092b97a4242d46d33";""
"id-bccdaa60a577477b84c6ad9eae2cb230";"AggregationRelationship";"";"";"id-e1dd5189a3e74a9aa9bed2a68b8b58c5";"id-869f6e85cc844f50acb627bfc1d3a8cb";""
